City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Nam Từ Liêm,38.10000000000001,6.5,3.0,3.0,3.0,Have certificate,5.499999999999999
Sơn La,60.00000000000001,6.0,4.0,4.0,4.0,Have certificate,8.0
Bà Rịa Vũng Tàu,34.99999999999999,4.5,5.0,3.0,3.0,Have certificate,2.8499999999999988
Bến Tre,140.0,6.1,1.9999999999999996,3.0,4.0,Have certificate,5.46
Bến Tre,100.0,6.0,1.9999999999999996,2.0,1.5,Have certificate,2.7
Đà Nẵng,45.0,4.5,5.0,4.0,3.0,Have certificate,4.449999999999999
Sơn La,83.99999999999999,6.5,3.0,5.5,5.5,Have certificate,6.5
Hà Giang,79.99999999999999,4.5,3.0,5.0,5.0,Have certificate,6.9
Bình Định,51.99999999999999,4.5,3.0,1.5,1.5,Sale contract,7.0
Bình Dương,69.99999999999999,4.5,4.0,5.0,3.0,Have certificate,7.499999999999999
Yên Bái,58.00000000000001,4.5,3.0,3.0,3.0,Have certificate,6.39
Bình Dương,66.99999999999999,4.5,3.0,3.0,3.0,Have certificate,4.5
Đường Số 11,60.00000000000001,4.5,4.0,4.0,3.0,Have certificate,4.5
Thừa Thiên Huế,63.99999999999999,4.5,3.0,3.0,3.0,Have certificate,8.3
Sơn La,90.0,4.5,3.0,3.0,3.0,Have certificate,3.2999999999999994
Hưng Yên,51.99999999999999,4.5,3.0,4.0,3.0,Have certificate,5.3
Hải Phòng,37.99999999999999,4.5,4.0,5.0,4.0,Have certificate,4.349999999999999
Bình Thuận,41.00000000000001,4.5,4.0,5.0,3.0,Have certificate,3.5999999999999996
Bình Thuận,124.0,4.5,3.0,4.0,2.0,Have certificate,6.3
Nam Từ Liêm,92.5,6.0,3.0,3.0,4.0,Have certificate,6.95
Bà Rịa Vũng Tàu,93.99999999999999,5.7,3.0,3.0,3.0,Have certificate,4.799999999999999
Bến Tre,45.5,3.7,3.0,3.0,3.0,Have certificate,3.25
Hải Phòng,34.99999999999999,4.0,4.0,4.0,3.0,Have certificate,6.5
Tphcm,34.99999999999999,4.5,4.0,3.0,3.0,Have certificate,2.499999999999999
Đường Số 11,85.0,6.08,1.9999999999999996,3.0,2.0,Have certificate,2.55
Bình Thuận,60.00000000000001,4.0,5.0,5.0,5.0,Have certificate,8.599999999999998
Bà Rịa Vũng Tàu,71.0,4.5,1.9999999999999996,2.0,2.0,Have certificate,4.8999999999999995
Hải Phòng,43.0,3.6,4.0,2.0,3.0,Have certificate,8.649999999999999
Bình Dương,39.0,4.6,4.0,3.0,3.0,Have certificate,10.0
Tuyên Quang,63.99999999999999,5.0,4.0,4.0,5.0,Have certificate,8.0
Bình Dương,100.0,4.5,3.0,3.0,3.0,Have certificate,1.6999999999999993
Hải Phòng,88.59999999999998,4.5,3.0,3.0,4.0,Have certificate,9.499999999999998
Phú Thọ,24.0,4.0,4.0,2.0,3.0,Have certificate,4.279999999999999
Lâm Đồng,40.0,4.0,3.0,3.0,3.0,Have certificate,7.0
Hải Phòng,51.99999999999999,5.0,4.0,3.0,3.0,Have certificate,4.2
Hà Giang,92.0,5.0,3.0,4.0,4.0,Have certificate,6.95
Bà Rịa Vũng Tàu,90.0,6.0,3.0,4.0,4.0,Have certificate,5.95
Phú Thọ,102.59999999999998,6.5,1.0,2.0,2.0,Have certificate,5.599999999999999
Yên Bái,140.0,6.5,3.0,4.0,4.0,Have certificate,4.999999999999999
Bình Định,62.0,4.3,5.0,5.0,3.0,Have certificate,8.9
Lâm Đồng,140.0,4.5,3.0,3.0,3.0,Have certificate,10.0
Bình Định,140.0,6.5,1.9999999999999996,4.0,3.0,Have certificate,8.0
Bình Thuận,140.0,6.5,5.0,3.0,3.0,Have certificate,10.0
Hà Giang,30.999999999999993,4.5,3.0,3.0,3.0,Have certificate,2.4799999999999995
Bình Dương,60.00000000000001,4.0,3.0,4.0,5.0,Have certificate,7.45
Tphcm,56.0,6.0,4.0,4.0,4.0,Have certificate,7.15
Hậu Giang,54.0,4.85,1.9999999999999996,3.0,2.0,Have certificate,7.499999999999999
Thừa Thiên Huế,30.000000000000004,3.25,5.0,3.0,4.0,Have certificate,4.25
Vĩnh Long,78.5,4.5,4.0,3.0,3.0,Have certificate,4.8999999999999995
Lâm Đồng,75.0,5.0,3.0,4.0,4.0,Have certificate,4.25
Hải Phòng,107.99999999999999,4.5,3.0,3.0,3.0,Have certificate,7.699999999999999
Phú Thọ,59.0,5.0,3.0,5.5,5.5,Have certificate,5.999999999999999
Đà Nẵng,100.0,4.5,3.0,3.0,3.0,Have certificate,7.0
