City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Hải Phòng,0.4156318480642805,1.0,0.5,0.875,0.875,Have certificate,0.3333333333333333
Bình Dương,0.5982468955441929,0.5,0.5,0.625,1.0,Have certificate,0.3047619047619048
Đường Số 11,0.5180423666910153,0.7,0.3333333333333333,0.375,0.375,Have certificate,0.1314285714285714
Lâm Đồng,0.4338933528122717,0.625,0.6666666666666666,0.375,0.375,Have certificate,0.619047619047619
Vĩnh Long,0.6128560993425858,0.625,0.6666666666666666,0.875,0.875,Have certificate,0.8571428571428571
Tphcm,0.3864134404674945,0.625,0.3333333333333333,0.375,0.375,Have certificate,0.1619047619047619
Vĩnh Long,0.6347699050401753,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.4285714285714285
Tphcm,0.4010226442658875,0.5,0.3333333333333333,0.375,0.375,Sale contract,0.3438095238095238
Hà Giang,0.2330168005843681,0.625,0.6666666666666666,0.875,0.625,Have certificate,0.557142857142857
Nam Từ Liêm,0.3455076698319941,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.2619047619047618
Bình Định,0.3718042366691015,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.3142857142857142
Bình Dương,0.3966398831263696,0.5,0.3333333333333333,0.375,0.125,Have certificate,0.2904761904761904
Thừa Thiên Huế,0.3864134404674945,0.3299999999999999,0.6666666666666666,1.0,0.875,Have certificate,0.5238095238095238
Đường Số 11,1.0,0.375,0.1666666666666666,0.625,0.375,Have certificate,0.2095238095238095
Hải Phòng,0.3553688823959094,0.5,0.5,0.625,0.875,Have certificate,0.7809523809523808
Nam Từ Liêm,0.1745799853907962,0.375,0.6666666666666666,0.625,0.875,Have certificate,0.6333333333333333
Hà Giang,0.8173849525200876,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.8142857142857143
Hải Phòng,0.5690284879474068,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.8476190476190476
Bình Dương,0.7282688093498904,1.0,0.1666666666666666,0.625,0.625,Have certificate,0.438095238095238
Hải Phòng,0.3279766252739226,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.4571428571428571
Đường Số 11,0.379108838568298,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5523809523809523
Yên Bái,0.3882395909422936,0.5,0.3333333333333333,0.625,0.375,Have certificate,0.3133333333333333
Bà Rịa Vũng Tàu,0.4521548575602629,0.5,0.1666666666666666,0.375,0.375,Have certificate,0.2857142857142857
Hải Phòng,0.5617238860482103,1.0,0.6666666666666666,0.875,1.0,Have certificate,0.5238095238095238
Bình Dương,0.4156318480642805,0.375,0.3333333333333333,0.375,0.375,Sale contract,0.5714285714285714
Đường Số 11,0.2184075967859751,0.125,0.6666666666666666,0.375,0.625,Have certificate,0.3314285714285714
Bà Rịa Vũng Tàu,0.2549306062819576,0.425,0.5,0.375,0.625,Have certificate,0.5504761904761905
Vĩnh Long,1.0,0.625,0.3333333333333333,0.375,0.375,Sale contract,0.3714285714285714
Tphcm,0.2841490138787436,0.5,0.3333333333333333,0.125,0.375,Have certificate,0.5238095238095238
Yên Bái,0.4156318480642805,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5714285714285714
Yên Bái,0.1964937910883857,0.2249999999999999,0.8333333333333334,0.625,0.875,Have certificate,0.4428571428571428
Lâm Đồng,0.5471146822498174,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.8380952380952381
Đà Nẵng,0.2951059167275383,0.5,0.5,0.375,0.625,Have certificate,0.4952380952380952
Sơn La,0.151935719503287,0.25,0.1666666666666666,0.125,0.125,Have certificate,0.3047619047619048
Vĩnh Long,0.5522279035792549,0.375,0.3333333333333333,0.375,0.375,Have certificate,0.4285714285714285
Bình Thuận,0.4704163623082542,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.1123809523809523
Tuyên Quang,0.5032870708546384,0.375,0.1666666666666666,0.625,0.625,Have certificate,0.5428571428571428
Hưng Yên,0.4156318480642805,0.5,0.5,0.625,0.375,Have certificate,0.1571428571428571
Đường Số 11,1.0,0.5,0.1666666666666666,0.375,0.375,Have certificate,0.8571428571428571
Vĩnh Long,0.2403214024835646,0.375,0.6666666666666666,0.625,0.625,Have certificate,0.4761904761904761
Đà Nẵng,0.7078159240321402,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.7133333333333333
Yên Bái,0.8539079620160701,0.875,0.5,0.375,0.375,Have certificate,0.4619047619047618
Hậu Giang,0.5471146822498174,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.4571428571428571
Hưng Yên,0.941563184806428,0.375,0.1666666666666666,0.375,0.125,Have certificate,0.5714285714285714
Đà Nẵng,0.7224251278305331,0.5,0.0,0.125,0.0,Have certificate,0.5523809523809523
Vĩnh Long,0.7151205259313367,1.0,0.3333333333333333,0.625,0.375,Have certificate,0.5333333333333332
Sơn La,0.5690284879474068,1.0,0.0,0.0,0.0,Have certificate,0.4571428571428571
Bình Định,0.2330168005843681,0.5,0.6666666666666666,0.625,0.375,Have certificate,0.238095238095238
Lâm Đồng,0.5252008765522279,0.625,0.3333333333333333,0.375,0.375,Have certificate,0.638095238095238
Đà Nẵng,0.4302410518626735,0.5,0.5,1.0,0.625,Have certificate,0.5619047619047619
Bến Tre,0.7078159240321402,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.2761904761904761
Nam Từ Liêm,0.2841490138787436,0.1999999999999999,0.5,0.875,0.625,Have certificate,0.7428571428571429
Nam Từ Liêm,1.0,0.625,0.5,0.625,0.625,Have certificate,0.7904761904761906
Tuyên Quang,1.0,1.0,0.3333333333333333,0.875,0.625,Have certificate,0.8285714285714284
Hậu Giang,0.5252008765522279,0.625,0.6666666666666666,0.375,0.375,Have certificate,0.7238095238095237
Vĩnh Long,0.5471146822498174,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.8
Bình Dương,0.2184075967859751,0.5,0.6666666666666666,0.375,0.625,Have certificate,0.3
Bình Dương,0.2037983929875821,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.1809523809523809
Tuyên Quang,0.5880204528853177,0.5,0.5,0.625,0.875,Have certificate,0.7238095238095237
Đà Nẵng,0.3864134404674945,0.575,0.8333333333333334,0.625,0.625,Have certificate,0.4095238095238095
Tphcm,0.6347699050401753,0.625,0.5,0.625,0.875,Have certificate,0.2714285714285714
Hải Phòng,0.379108838568298,0.375,0.6666666666666666,1.0,0.875,Have certificate,0.6952380952380953
Vĩnh Long,0.3425858290723155,1.0,0.1666666666666666,0.125,0.125,Have certificate,0.2761904761904761
Bến Tre,0.4521548575602629,0.5,0.5,0.625,0.875,Have certificate,0.3047619047619048
Hà Giang,0.4156318480642805,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.3142857142857142
Tphcm,0.7078159240321402,0.625,0.3333333333333333,0.375,0.625,Sale contract,0.2809523809523809
Đường Số 11,0.2184075967859751,0.5,0.3333333333333333,0.0,0.0,Sale contract,0.038095238095238
Bình Dương,0.4156318480642805,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.3523809523809524
Sơn La,0.4886778670562454,0.5,0.6666666666666666,0.875,0.625,Have certificate,0.5619047619047619
Lâm Đồng,0.2695398100803506,0.5,0.5,0.875,0.625,Have certificate,0.7714285714285714
Nam Từ Liêm,0.2695398100803506,0.5,0.6666666666666666,1.0,0.375,Have certificate,0.5
Yên Bái,0.4594594594594594,0.375,0.5,0.875,0.375,Have certificate,0.757142857142857
Tphcm,0.2330168005843681,0.5,0.5,0.625,0.375,Have certificate,0.5
Tuyên Quang,0.5178962746530313,0.5,0.1666666666666666,0.625,0.375,Have certificate,0.5552380952380952
Bình Thuận,0.3060628195763331,0.5,0.1666666666666666,0.125,0.125,Have certificate,0.3238095238095238
Bình Thuận,0.4886778670562454,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5523809523809523
Tuyên Quang,0.3060628195763331,0.5,0.3333333333333333,0.375,0.375,Sale contract,0.5714285714285714
Nam Từ Liêm,0.5982468955441929,0.5,0.1666666666666666,0.625,0.625,Have certificate,0.4666666666666667
Vĩnh Long,0.3279766252739226,0.5,0.5,0.875,0.375,Have certificate,0.5142857142857143
Bình Định,0.3871439006574141,0.425,0.5,0.625,0.375,Have certificate,0.5047619047619047
Hải Phòng,0.2695398100803506,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.6171428571428571
Bình Thuận,0.2439737034331628,0.275,0.8333333333333334,0.375,0.625,Have certificate,0.2952380952380952
Đường Số 11,0.2403214024835646,0.5,0.5,0.375,0.375,Have certificate,0.618095238095238
Bình Thuận,0.4448502556610664,0.375,0.6666666666666666,0.625,0.875,Have certificate,0.5428571428571428
Bình Thuận,0.0650109569028487,0.125,0.6666666666666666,0.375,0.625,Have certificate,0.0761904761904762
Bình Thuận,0.6347699050401753,0.5,0.3333333333333333,0.375,0.125,Have certificate,0.2095238095238095
Bình Định,0.364499634769905,0.4499999999999999,0.6666666666666666,1.0,0.875,Have certificate,0.5133333333333333
Bình Định,0.6785975164353543,0.75,0.1666666666666666,0.875,0.875,Have certificate,0.7142857142857143
Đường Số 11,0.2037983929875821,0.925,0.3333333333333333,0.625,0.375,Have certificate,0.5523809523809523
Bình Dương,0.3864134404674945,0.3375,0.5,0.625,0.875,Have certificate,0.7142857142857143
Bình Dương,0.8305332359386413,0.5,0.3333333333333333,0.375,0.125,Have certificate,0.6
Sơn La,0.3864134404674945,0.625,0.6666666666666666,0.375,0.375,Have certificate,0.6285714285714284
Bình Định,0.4448502556610664,0.375,0.6666666666666666,1.0,1.0,Have certificate,0.4742857142857143
Nam Từ Liêm,0.4521548575602629,0.75,0.3333333333333333,0.375,0.375,Have certificate,0.3523809523809524
Bến Tre,0.3425858290723155,0.5,0.5,0.625,0.625,Have certificate,0.5714285714285714
Hưng Yên,0.7078159240321402,0.625,0.3333333333333333,0.375,0.375,Have certificate,0.1095238095238095
Hậu Giang,0.4886778670562454,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.8190476190476189
Bình Thuận,0.379108838568298,0.625,0.6666666666666666,0.625,0.875,Have certificate,0.5523809523809523
Bến Tre,0.2476260043827611,0.375,0.8333333333333334,0.375,0.375,Have certificate,0.438095238095238
Đường Số 11,0.3060628195763331,0.25,0.5,0.625,0.375,Have certificate,0.3761904761904762
Tuyên Quang,0.1964937910883857,0.875,0.8333333333333334,0.375,0.625,Have certificate,0.3428571428571428
Bình Định,0.4704163623082542,0.5,0.5,0.625,0.625,Have certificate,0.3333333333333333
Bến Tre,1.0,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.8571428571428571
Hậu Giang,0.3060628195763331,0.5,0.6666666666666666,0.375,0.625,Have certificate,0.4476190476190476
Thừa Thiên Huế,1.0,1.0,0.3333333333333333,0.875,1.0,Have certificate,0.8285714285714284
Thừa Thiên Huế,0.3170197224251278,0.625,0.3333333333333333,0.375,0.375,Have certificate,0.1714285714285713
Bình Dương,0.4740686632578524,0.375,0.0,0.375,0.375,Have certificate,0.1714285714285713
Tphcm,0.8539079620160701,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5714285714285714
Bến Tre,0.2695398100803506,0.5,0.1666666666666666,0.125,0.125,Have certificate,0.0361904761904761
Thừa Thiên Huế,0.8539079620160701,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.6666666666666666
Hải Phòng,0.6932067202337472,1.0,0.3333333333333333,0.375,0.375,Sale contract,0.5619047619047619
Tuyên Quang,0.5617238860482103,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.0476190476190476
Hưng Yên,0.2111029948867786,0.5,0.6666666666666666,0.375,0.625,Have certificate,0.4476190476190476
